Points Accelerations Angles Longitudes
(12,-15)    (-1,1)    0.896055    (0,0)
(11,-14)    (-1,1)    0.904827    (-1,1)
(9,-12)    (-1,1)    0.927295    (-2,2)
(6,-9)    (-1,1)    0.982794    (-3,3)
(2,-5)    (0,1)    1.19029    (-4,4)
(-2,0)    (1,0)    0    (-4,5)
(-5,5)    (1,-1)    0.785398    (-3,5)
(-7,9)    (1,-1)    0.909753    (-2,4)
(-8,12)    (1,-1)    0.982794    (-1,3)
(-8,14)    (1,-1)    1.05165    (0,2)
(-7,15)    (1,-1)    1.13417    (1,1)
(-5,15)    (0,-1)    1.24905    (2,0)
(-3,14)    (0,-1)    1.3597    (2,-1)
(-1,12)    (0,-1)    1.48766    (2,-2)
(1,9)    (0,-1)    1.46014    (2,-3)
(3,5)    (-1,-1)    1.03038    (2,-4)
(4,0)    (-1,0)    0    (1,-5)
(4,-5)    (-1,1)    0.896055    (0,-5)
(3,-9)    (0,1)    1.24905    (-1,-4)
(2,-12)    (0,1)    1.40565    (-1,-3)
(1,-14)    (0,1)    1.49949    (-1,-2)
(0,-15)    (0,1)    1.5708    (-1,-1)
(-1,-15)    (0,1)    1.50423    (-1,0)
(-2,-14)    (0,1)    1.4289    (-1,1)
(-3,-12)    (0,1)    1.32582    (-1,2)
(-4,-9)    (1,1)    1.15257    (-1,3)
(-4,-5)    (1,1)    0.896055    (0,4)
(-3,0)    (1,0)    0    (1,5)
(-1,5)    (0,-1)    1.3734    (2,5)
(1,9)    (0,-1)    1.46014    (2,4)
(3,12)    (0,-1)    1.32582    (2,3)
(5,14)    (0,-1)    1.22777    (2,2)
(7,15)    (-1,-1)    1.13417    (2,1)
(8,15)    (-1,-1)    1.08084    (1,0)
(8,14)    (-1,-1)    1.05165    (0,-1)
(7,12)    (-1,-1)    1.04272    (-1,-2)
(5,9)    (-1,-1)    1.0637    (-2,-3)
(2,5)    (0,-1)    1.19029    (-3,-4)
(-1,0)    (1,0)    0    (-3,-5)
(-3,-5)    (1,1)    1.03038    (-2,-5)
(-4,-9)    (1,1)    1.15257    (-1,-4)
(-4,-12)    (0,1)    1.24905    (0,-3)
(-4,-14)    (0,1)    1.2925    (0,-2)
(-4,-15)    (0,1)    1.31019    (0,-1)
(-4,-15)    (0,1)    1.31019    (0,0)
(-4,-14)    (0,1)    1.2925    (0,1)
(-4,-12)    (0,1)    1.24905    (0,2)
(-4,-9)    (1,1)    1.15257    (0,3)
(-3,-5)    (1,1)    1.03038    (1,4)
(-1,0)    (1,0)    0    (2,5)
(2,5)    (0,-1)    1.19029    (3,5)
(5,9)    (-1,-1)    1.0637    (3,4)
(7,12)    (-1,-1)    1.04272    (2,3)
(8,14)    (-1,-1)    1.05165    (1,2)
(8,15)    (-1,-1)    1.08084    (0,1)
(7,15)    (-1,-1)    1.13417    (-1,0)
(5,14)    (0,-1)    1.22777    (-2,-1)
(3,12)    (0,-1)    1.32582    (-2,-2)
(1,9)    (0,-1)    1.46014    (-2,-3)
(-1,5)    (0,-1)    1.3734    (-2,-4)
(-3,0)    (1,0)    0    (-2,-5)
(-4,-5)    (1,1)    0.896055    (-1,-5)
(-4,-9)    (1,1)    1.15257    (0,-4)
(-3,-12)    (0,1)    1.32582    (1,-3)
(-2,-14)    (0,1)    1.4289    (1,-2)
(-1,-15)    (0,1)    1.50423    (1,-1)
(0,-15)    (0,1)    1.5708    (1,0)
(1,-14)    (0,1)    1.49949    (1,1)
(2,-12)    (0,1)    1.40565    (1,2)
(3,-9)    (0,1)    1.24905    (1,3)
(4,-5)    (-1,1)    0.896055    (1,4)
(4,0)    (-1,0)    0    (0,5)
(3,5)    (-1,-1)    1.03038    (-1,5)
(1,9)    (0,-1)    1.46014    (-2,4)
(-1,12)    (0,-1)    1.48766    (-2,3)
(-3,14)    (0,-1)    1.3597    (-2,2)
(-5,15)    (0,-1)    1.24905    (-2,1)
(-7,15)    (1,-1)    1.13417    (-2,0)
(-8,14)    (1,-1)    1.05165    (-1,-1)
(-8,12)    (1,-1)    0.982794    (0,-2)
(-7,9)    (1,-1)    0.909753    (1,-3)
(-5,5)    (1,-1)    0.785398    (2,-4)
(-2,0)    (1,0)    0    (3,-5)
(2,-5)    (0,1)    1.19029    (4,-5)
(6,-9)    (-1,1)    0.982794    (4,-4)
(9,-12)    (-1,1)    0.927295    (3,-3)
(11,-14)    (-1,1)    0.904827    (2,-2)
(12,-15)    (-1,1)    0.896055    (1,-1)
(12,-15)    (-1,1)    0.896055    (0,0)
