Pi-1        Pi        Vi        Ai        Ti
(12,-15)    (11,-14)    (-1,1)    (-1,1)    0.904827
(11,-14)    (9,-12)    (-2,2)    (-1,1)    0.927295
(9,-12)    (6,-9)    (-3,3)    (-1,1)    0.982794
(6,-9)    (2,-5)    (-4,4)    (0,1)    1.19029
(2,-5)    (-2,0)    (-4,5)    (1,0)    0
(-2,0)    (-5,5)    (-3,5)    (1,-1)    0.785398
(-5,5)    (-7,9)    (-2,4)    (1,-1)    0.909753
(-7,9)    (-8,12)    (-1,3)    (1,-1)    0.982794
(-8,12)    (-8,14)    (0,2)    (1,-1)    1.05165
(-8,14)    (-7,15)    (1,1)    (1,-1)    1.13417
(-7,15)    (-5,15)    (2,0)    (0,-1)    1.24905
(-5,15)    (-3,14)    (2,-1)    (0,-1)    1.3597
(-3,14)    (-1,12)    (2,-2)    (0,-1)    1.48766
(-1,12)    (1,9)    (2,-3)    (0,-1)    1.46014
(1,9)    (3,5)    (2,-4)    (-1,-1)    1.03038
(3,5)    (4,0)    (1,-5)    (-1,0)    0
(4,0)    (4,-5)    (0,-5)    (-1,1)    0.896055
(4,-5)    (3,-9)    (-1,-4)    (0,1)    1.24905
(3,-9)    (2,-12)    (-1,-3)    (0,1)    1.40565
(2,-12)    (1,-14)    (-1,-2)    (0,1)    1.49949
(1,-14)    (0,-15)    (-1,-1)    (0,1)    1.5708
(0,-15)    (-1,-15)    (-1,0)    (0,1)    1.50423
(-1,-15)    (-2,-14)    (-1,1)    (0,1)    1.4289
(-2,-14)    (-3,-12)    (-1,2)    (0,1)    1.32582
(-3,-12)    (-4,-9)    (-1,3)    (1,1)    1.15257
(-4,-9)    (-4,-5)    (0,4)    (1,1)    0.896055
(-4,-5)    (-3,0)    (1,5)    (1,0)    0
(-3,0)    (-1,5)    (2,5)    (0,-1)    1.3734
(-1,5)    (1,9)    (2,4)    (0,-1)    1.46014
(1,9)    (3,12)    (2,3)    (0,-1)    1.32582
(3,12)    (5,14)    (2,2)    (0,-1)    1.22777
(5,14)    (7,15)    (2,1)    (-1,-1)    1.13417
(7,15)    (8,15)    (1,0)    (-1,-1)    1.08084
(8,15)    (8,14)    (0,-1)    (-1,-1)    1.05165
(8,14)    (7,12)    (-1,-2)    (-1,-1)    1.04272
(7,12)    (5,9)    (-2,-3)    (-1,-1)    1.0637
(5,9)    (2,5)    (-3,-4)    (0,-1)    1.19029
(2,5)    (-1,0)    (-3,-5)    (1,0)    0
(-1,0)    (-3,-5)    (-2,-5)    (1,1)    1.03038
(-3,-5)    (-4,-9)    (-1,-4)    (1,1)    1.15257
(-4,-9)    (-4,-12)    (0,-3)    (0,1)    1.24905
(-4,-12)    (-4,-14)    (0,-2)    (0,1)    1.2925
(-4,-14)    (-4,-15)    (0,-1)    (0,1)    1.31019
(-4,-15)    (-4,-15)    (0,0)    (0,1)    1.31019
(-4,-15)    (-4,-14)    (0,1)    (0,1)    1.2925
(-4,-14)    (-4,-12)    (0,2)    (0,1)    1.24905
(-4,-12)    (-4,-9)    (0,3)    (1,1)    1.15257
(-4,-9)    (-3,-5)    (1,4)    (1,1)    1.03038
(-3,-5)    (-1,0)    (2,5)    (1,0)    0
(-1,0)    (2,5)    (3,5)    (0,-1)    1.19029
(2,5)    (5,9)    (3,4)    (-1,-1)    1.0637
(5,9)    (7,12)    (2,3)    (-1,-1)    1.04272
(7,12)    (8,14)    (1,2)    (-1,-1)    1.05165
(8,14)    (8,15)    (0,1)    (-1,-1)    1.08084
(8,15)    (7,15)    (-1,0)    (-1,-1)    1.13417
(7,15)    (5,14)    (-2,-1)    (0,-1)    1.22777
(5,14)    (3,12)    (-2,-2)    (0,-1)    1.32582
(3,12)    (1,9)    (-2,-3)    (0,-1)    1.46014
(1,9)    (-1,5)    (-2,-4)    (0,-1)    1.3734
(-1,5)    (-3,0)    (-2,-5)    (1,0)    0
(-3,0)    (-4,-5)    (-1,-5)    (1,1)    0.896055
(-4,-5)    (-4,-9)    (0,-4)    (1,1)    1.15257
(-4,-9)    (-3,-12)    (1,-3)    (0,1)    1.32582
(-3,-12)    (-2,-14)    (1,-2)    (0,1)    1.4289
(-2,-14)    (-1,-15)    (1,-1)    (0,1)    1.50423
(-1,-15)    (0,-15)    (1,0)    (0,1)    1.5708
(0,-15)    (1,-14)    (1,1)    (0,1)    1.49949
(1,-14)    (2,-12)    (1,2)    (0,1)    1.40565
